action,attempted,successful,failed,flips,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_runtime_ms
array_index_bound_guard,12,4,8,1,-0.20106142954108464,0.22425189809081303,0.8454893417656422,5584.4137869999595
control_wrapper,34,33,1,0,-0.04348185176902568,0.04847521816086109,0.4448472121730447,5480.214736242405
data_flow_alias,33,32,1,1,-0.043339593688046144,0.04369770228814189,0.8500496558845043,5629.384444156287
dead_statement,36,35,1,1,0.005007747270613571,0.04159300574045925,0.4693361222743988,5698.449725542845
integer_overflow_guard,10,0,10,0,,,,
pattern_dead_code,30,29,1,1,-0.06391357304484974,0.06440112526282889,0.46933627128601074,5631.026589793096
postcondition_validation,10,0,10,0,,,,
range_clamp,15,8,7,0,-5.442614203765572e-07,5.442614203765572e-07,2.173961320295348e-06,6119.053608875007
safe_source_substitution,18,11,7,0,-0.05318749403232801,0.05318749403232801,0.16454005241394043,5575.836823545449
sink_bound_guard,15,8,7,0,-2.2952959932709405e-07,2.9046080873840197e-07,1.039980816130992e-06,5762.802376875015
temp_variable_split,15,8,7,0,-0.017656397342193486,0.017852746031735478,0.07101828674785793,5755.897630874998
wide_char_sink_guard,10,0,10,0,,,,
xfg_targeted_dead_code,32,31,1,1,-0.05148152125016864,0.05317135308732796,0.5411051213741302,5492.127618000044
